,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,79.10986328125,26.269999999999996,79.10986328125,126.27
1,2,40.7900390625,5.890000000000001,119.89990234375,132.16
2,3,40.909912109375,-1.799999999999983,160.8095703125,130.36
3,4,70.47998046875,6.22999999999999,231.2900390625,136.59
4,5,72.419921875,2.0,303.7109375,138.59
5,6,61.27001953125,0.27000000000001023,364.98046875,138.86
6,7,73.7900390625,4.859999999999985,438.76953125,143.72
7,8,61.550048828125,4.280000000000001,500.3203125,148.0
8,9,70.240234375,4.060000000000002,570.55859375,152.06
