,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,71.77001953125,16.739999999999995,71.77001953125,116.74
1,2,41.050048828125,5.430000000000007,112.81982421875,122.17
2,3,21.969970703125,-9.540000000000006,134.7900390625,112.63
3,4,71.7900390625,8.700000000000003,206.580078125,121.33
4,5,88.330078125,7.589999999999989,294.91015625,128.92
5,6,60.570068359375,-2.8799999999999812,355.48046875,126.04
6,7,56.89990234375,-0.05000000000001137,412.380859375,125.99
7,8,83.5498046875,5.079999999999998,495.9296875,131.07
8,9,75.990234375,3.5400000000000205,571.921875,134.61
