,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,43.9599609375,2.469999999999999,43.9599609375,102.47
1,2,45.949951171875,5.590000000000003,89.91015625,108.06
2,3,43.5400390625,2.980000000000004,133.4501953125,111.04
3,4,32.75,0.03999999999999204,166.2001953125,111.08
4,5,85.97998046875,13.540000000000006,252.1796875,124.62
5,6,47.139892578125,-2.950000000000003,299.3203125,121.67
6,7,63.090087890625,5.75,362.41015625,127.42
7,8,67.14990234375,5.559999999999988,429.560546875,132.98
8,9,82.93994140625,5.060000000000002,512.5,138.04
