,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,38.43994140625,0.0,38.43994140625,100.0
1,2,54.889892578125,7.140000000000001,93.330078125,107.14
2,3,40.68994140625,-3.6700000000000017,134.01953125,103.47
3,4,53.780029296875,5.3700000000000045,187.7998046875,108.84
4,5,70.72021484375,2.549999999999997,258.51953125,111.39
5,6,62.06005859375,-0.8200000000000074,320.580078125,110.57
6,7,41.090087890625,-2.9099999999999966,361.669921875,107.66
7,8,42.639892578125,5.27000000000001,404.310546875,112.93
8,9,43.639892578125,3.029999999999987,447.94921875,115.96
