,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
41,Grmio,Meia,Villasanti,4.45,0.45,2.9,2.9,1.0,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,97145.0,284,4,0.0
42,Fluminense,Atacante,John Kennedy,11.55,6.55,12.9,12.9,1.0,1.0,1.0,,,2.0,,4.0,,1.0,,1.0,,,,1.0,,,1.0,,2.0,,110759.0,266,5,0.0
43,Palmeiras,Atacante,Endrick,8.71,2.71,7.5,7.5,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,6.0,,115959.0,275,5,0.0
44,Athltico-PR,Lateral,Pedrinho,7.48,3.48,7.6,7.6,1.0,1.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,1.0,,110995.0,293,2,0.0
45,Athltico-PR,Tcnico,Paulo Turra,8.56,3.56,8.26,8.26,1.0,1.0,,,,,,,,,,,,,,,,,,,,,82747.0,293,6,0.0
46,Bragantino,Zagueiro,Natan,6.52,0.52,4.1,4.1,1.0,1.0,,,,,,1.0,,,,,,,,3.0,,,,,,,107110.0,280,3,0.0
47,Athltico-PR,Meia,Vitor Bueno,5.74,0.74,3.9,3.9,1.0,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,87552.0,293,4,0.0
48,Palmeiras,Zagueiro,Gustavo Gmez,8.82,-0.35,3.6,2.72,5.0,5.0,,,,,,,,,,,,,,3.0,,,,,,,71684.0,275,3,0.0
49,Flamengo,Meia,Arrascaeta,13.44,-0.05,5.0,2.95,2.0,5.0,,,,2.0,3.0,1.0,,,,,,,,,,,,,1.0,,87863.0,262,4,0.0
50,Palmeiras,Atacante,Artur,10.51,0.07,6.8,6.84,5.0,5.0,,,1.0,,2.0,2.0,,,,,,,,1.0,,,,,,,95799.0,275,5,0.0
51,Internacional,Zagueiro,Vito,5.01,-0.09,1.2,2.04,5.0,5.0,,,,,,,,,,,,,,1.0,,,,,,,97900.0,285,3,0.0
52,Flamengo,Atacante,Pedro,14.12,-0.21,12.0,5.75,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,94583.0,262,5,12.0
53,Coritiba,Lateral,Victor Luis,2.61,0.38,1.0,0.48,4.0,5.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,86410.0,294,2,0.0
54,Palmeiras,Meia,Gabriel Menino,7.52,0.73,5.5,3.76,5.0,5.0,,,,,1.0,1.0,,,,,,,,4.0,,,,,2.0,,103767.0,275,4,0.0
55,Internacional,Lateral,Ren,9.13,-0.7,2.1,4.68,5.0,5.0,,,,,,,,,,,,,,2.0,,,,,1.0,,78445.0,285,2,0.0
56,Internacional,Goleiro,Keiller,5.24,-0.86,1.0,3.0,3.0,5.0,,,,,,,,,,,,,3.0,,,,,2.0,,,93834.0,285,1,0.0
57,Flamengo,Meia,Everton Ribeiro,10.66,1.57,11.3,5.22,5.0,5.0,1.0,,,,,2.0,,1.0,,,,,,2.0,,,,,,,51772.0,262,4,0.0
58,Botafogo,Atacante,Tiquinho Soares,20.4,3.14,17.7,11.14,5.0,5.0,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,84042.0,263,5,0.0
59,Flamengo,Tcnico,Jorge Sampaoli,10.56,1.1,9.03,5.41,4.0,5.0,,,,,,,,,,,,,,,,,,,,,70800.0,262,6,0.0
60,Fluminense,Lateral,Marcelo,14.9,0.33,7.9,6.8,3.0,6.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,38402.0,266,2,0.0
61,Flamengo,Meia,Arrascaeta,13.46,0.02,5.9,3.93,3.0,6.0,,,,,2.0,2.0,,,,1.0,,,,3.0,,,1.0,,1.0,,87863.0,262,4,0.0
62,Palmeiras,Zagueiro,Gustavo Gmez,9.76,0.94,7.9,3.58,6.0,6.0,,1.0,,,1.0,2.0,,,,,,,,2.0,,,1.0,,1.0,,71684.0,275,3,0.0
63,Fluminense,Tcnico,Fernando Diniz,15.05,0.18,8.03,7.14,6.0,6.0,,,,,,,,,,,,,,,,,,,,,72391.0,266,6,0.0
64,Athltico-PR,Lateral,Fernando,4.48,1.26,8.5,6.6,2.0,6.0,,1.0,,,,,,,,,,,,4.0,,,1.0,,1.0,,106950.0,293,2,0.0
65,Fluminense,Zagueiro,Nino,15.82,2.44,16.4,8.13,6.0,6.0,1.0,,,,1.0,1.0,,,,,1.0,,,2.0,,,,,1.0,,91708.0,266,3,0.0
66,Palmeiras,Atacante,Dudu,14.75,-1.15,1.5,6.43,6.0,6.0,,,,,,3.0,,,,,,,,,,,,,,,68920.0,275,5,0.0
67,Fluminense,Meia,Arias,8.64,-0.19,2.2,2.68,5.0,6.0,,,,,,1.0,,,,,,,,3.0,,,1.0,,3.0,,99815.0,266,4,0.0
68,Fluminense,Atacante,Cano,15.2,-1.26,4.2,5.43,6.0,6.0,,,,,2.0,,,,,,,,,1.0,,,,,,,79631.0,266,5,4.2
69,Gois,Meia,Z Ricardo,6.14,0.68,6.7,4.5,6.0,6.0,,1.0,,1.0,,3.0,,,,,,,,1.0,,,1.0,,4.0,,102911.0,290,4,0.0
70,Athltico-PR,Atacante,Vitor Roque,10.08,1.14,8.5,6.18,6.0,6.0,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,1.0,,114802.0,293,5,0.0
71,Palmeiras,Goleiro,Weverton,8.12,-0.11,1.5,2.08,6.0,6.0,,,,,,1.0,,,,,,,2.0,,,,,1.0,,,71631.0,275,1,0.0
72,Palmeiras,Meia,Raphael Veiga,19.46,-1.4,0.4,12.32,5.0,7.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,94509.0,275,4,0.0
