,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
56,Flamengo,Atacante,Pedro,14.12,-0.21,12.0,5.75,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,94583.0,262,5,12.0
57,Coritiba,Meia,Boschilia,6.48,-0.36,4.8,6.33,3.0,5.0,,,,2.0,,3.0,,,,,,,,1.0,,,,,1.0,,86841.0,294,4,0.0
58,Flamengo,Zagueiro,Fabrcio Bruno,9.84,0.21,5.0,4.64,5.0,5.0,,,,,,,,,,,1.0,,,,,,,,,,90768.0,262,3,0.0
59,Flamengo,Lateral,Ayrton Lucas,15.64,0.47,8.1,6.5,5.0,5.0,,,,,,,,,,1.0,1.0,,,2.0,,,,,1.0,,88393.0,262,2,0.0
60,Fluminense,Meia,Arias,8.64,-0.19,2.2,2.68,5.0,6.0,,,,,,1.0,,,,,,,,3.0,,,1.0,,3.0,,99815.0,266,4,0.0
61,Fluminense,Atacante,Cano,15.2,-1.26,4.2,5.43,6.0,6.0,,,,,2.0,,,,,,,,,1.0,,,,,,,79631.0,266,5,4.2
62,Fluminense,Lateral,Marcelo,14.9,0.33,7.9,6.8,3.0,6.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,38402.0,266,2,0.0
63,Vasco,Tcnico,Maurcio Barbieri,8.95,-0.15,3.17,4.01,6.0,6.0,,,,,,,,,,,,,,,,,,,,,82792.0,267,6,0.0
64,Palmeiras,Atacante,Dudu,14.75,-1.15,1.5,6.43,6.0,6.0,,,,,,3.0,,,,,,,,,,,,,,,68920.0,275,5,0.0
65,Palmeiras,Zagueiro,Gustavo Gmez,9.76,0.94,7.9,3.58,6.0,6.0,,1.0,,,1.0,2.0,,,,,,,,2.0,,,1.0,,1.0,,71684.0,275,3,0.0
66,Coritiba,Goleiro,Gabriel,3.58,0.04,1.0,1.33,6.0,6.0,,,,,,,,,,,,,4.0,,,,,3.0,,,70449.0,294,1,0.0
67,Fluminense,Zagueiro,Nino,15.82,2.44,16.4,8.13,6.0,6.0,1.0,,,,1.0,1.0,,,,,1.0,,,2.0,,,,,1.0,,91708.0,266,3,0.0
68,Flamengo,Meia,Arrascaeta,13.46,0.02,5.9,3.93,3.0,6.0,,,,,2.0,2.0,,,,1.0,,,,3.0,,,1.0,,1.0,,87863.0,262,4,0.0
69,Flamengo,Lateral,Ayrton Lucas,14.27,-1.37,1.5,5.67,6.0,6.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,4.0,,88393.0,262,2,0.0
70,Vasco,Atacante,Pedro Raul,6.76,0.61,3.7,3.83,6.0,6.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,98225.0,267,5,0.0
