,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,65.4599609375,12.650000000000006,65.4599609375,112.65
1,2,57.6201171875,6.789999999999992,123.080078125,119.44
2,3,46.989990234375,-1.3700000000000045,170.0703125,118.07
3,4,70.14013671875,6.240000000000009,240.2099609375,124.31
4,5,118.6298828125,10.090000000000003,358.83984375,134.4
5,6,81.14013671875,0.38999999999998636,439.98046875,134.79
6,7,66.259765625,0.2300000000000182,506.240234375,135.02
7,8,54.25,1.8499999999999943,560.48828125,136.87
8,9,66.58984375,-1.8900000000000148,627.078125,134.98
