,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,57.7099609375,14.430000000000007,57.7099609375,114.43
1,2,76.2001953125,15.840000000000003,133.91015625,130.27
2,3,47.6298828125,1.75,181.5400390625,132.02
3,4,58.340087890625,4.9599999999999795,239.8798828125,136.98
4,5,76.22998046875,4.730000000000018,316.109375,141.71
5,6,79.22998046875,4.280000000000001,395.33984375,145.99
6,7,52.610107421875,-1.4099999999999966,447.94921875,144.58
7,8,39.800048828125,0.08999999999997499,487.75,144.67
8,9,80.83984375,2.940000000000026,568.58984375,147.61
